smp500,bitcoin
2760.17,3976.0
2790.37,3833.47
2700.06,3901.84
2695.95,3433.26
2633.08,3380.01
2637.72,3410.15
2636.78,3349.36
2651.07,3430.24
2650.54,3265.0
2599.95,3195.71
2545.94,3496.82
2546.16,3667.77
2506.96,3715.21
2467.42,4075.34
2416.62,3839.06
2351.1,4034.0
2467.7,3809.88
2488.83,3589.89
2485.74,3888.06
2506.85,3691.86
2510.03,3890.79
2447.89,3787.57
2531.94,3820.82
2549.69,4006.01
2574.41,3993.86
2584.96,4004.12
2596.64,3626.12
2596.26,3635.69
2582.61,3664.19
2610.3,3580.76
2616.1,3609.71
2635.96,3640.65
2670.71,3607.85
2632.9,3577.03
2638.7,3553.01
2642.33,3568.97
2664.76,3562.17
2643.85,3429.95
2640.0,3397.42
2681.05,3437.55
2704.1,3411.5
2706.53,3437.5
2724.87,3409.57
2737.7,3428.4
2731.61,3367.36
2706.05,3359.0
2707.88,3621.99
2709.8,3590.36
2744.73,3588.06
2753.03,3576.68
2745.73,3561.5
2775.6,3566.59
2779.76,3888.01
2784.7,3938.99
2774.88,3897.71
2792.67,3942.02
2796.11,3818.79
2793.9,3799.48
2792.38,3799.91
2784.49,3792.14
2803.69,3806.17
2792.81,3700.72
2789.65,3844.59
2771.45,3851.89
2748.93,3857.05
2743.07,3843.12
2783.3,3849.68
2791.52,3860.0
2810.92,3851.02
2808.48,3853.95
2822.48,3902.8
2832.94,3970.5
2832.57,4000.85
2824.23,4031.85
2854.88,3972.76
2800.71,3983.78
2798.36,3907.53
2818.46,3921.45
2805.37,4026.53
2815.44,4011.17
2834.4,4091.01
2867.19,4137.0
2867.24,4901.93
2873.4,4975.97
2879.39,4906.49
2892.74,5040.66
2895.77,5285.54
2878.2,5187.21
2888.21,5318.58
2888.32,5041.3
2907.41,5078.19
2905.58,5029.99
2907.06,5202.9
2900.45,5227.0
2905.03,5281.81
2907.97,5387.6
2933.68,5532.75
2927.25,5441.9
2926.17,5134.81
2939.88,5159.51
2943.03,5148.25
2945.83,5270.69
2923.73,5321.15
2917.52,5390.01
